"","id","lat","lon","val"
"532",532,87,76.5,0
"533",533,87,78,0
"534",534,87,79.5,0
"535",535,87,81,0
"536",536,87,82.5,0
"537",537,87,84,0
"538",538,87,85.5,0
"539",539,87,87,0
"540",540,87,88.5,0
"541",541,87,90,0
"542",542,87,91.5,0
"543",543,87,93,0
"544",544,87,94.5,0
"545",545,87,96,0
"546",546,87,97.5,0
"547",547,87,99,0
"548",548,87,100.5,0
"549",549,87,102,0
"550",550,87,103.5,0
"551",551,87,105,0
"552",552,87,106.5,0
"553",553,87,108,0
"554",554,87,109.5,0
"555",555,87,111,0
"556",556,87,112.5,0
"557",557,87,114,0
"558",558,87,115.5,0
"559",559,87,117,0
"560",560,87,118.5,0
"561",561,87,120,0
"562",562,87,121.5,0
"563",563,87,123,0
"564",564,87,124.5,0
"565",565,87,126,0
"566",566,87,127.5,0
"567",567,87,129,0
"568",568,87,130.5,0
"569",569,87,132,0
"570",570,87,133.5,0
"571",571,87,135,0
"572",572,87,136.5,0
"573",573,87,138,0
"574",574,87,139.5,0
"575",575,87,141,0
"576",576,87,142.5,0
"577",577,87,144,0
"578",578,87,145.5,0
"579",579,87,147,0
"580",580,87,148.5,0
"581",581,87,150,0
"582",582,87,151.5,0
"583",583,87,153,0
"584",584,87,154.5,0
"585",585,87,156,0
"586",586,87,157.5,0
"587",587,87,159,0
"588",588,87,160.5,0
"589",589,87,162,0
"590",590,87,163.5,0
"591",591,87,165,0
"592",592,87,166.5,0
"593",593,87,168,0
"594",594,87,169.5,0
"595",595,87,171,0
"596",596,87,172.5,0
"597",597,87,174,0
"598",598,87,175.5,0
"599",599,87,177,0
"600",600,87,178.5,0
"601",601,87,180,0
"602",602,87,181.5,0
"603",603,87,183,0
"604",604,87,184.5,0
"605",605,87,186,0
"606",606,87,187.5,0
"607",607,87,189,0
"608",608,87,190.5,0
"609",609,87,192,0
"610",610,87,193.5,0
"611",611,87,195,0
"612",612,87,196.5,0
"613",613,87,198,0
"614",614,87,199.5,0
"615",615,87,201,0
"616",616,87,202.5,0
"617",617,87,204,0
"618",618,87,205.5,0
"619",619,87,207,0
"620",620,87,208.5,0
"621",621,87,210,0
"622",622,87,211.5,0
"623",623,87,213,0
"624",624,87,214.5,0
"625",625,87,216,0
"626",626,87,217.5,0
"627",627,87,219,0
"628",628,87,220.5,0
"629",629,87,222,0
"630",630,87,223.5,0
"631",631,87,225,0
"632",632,87,226.5,0
"633",633,87,228,0
"634",634,87,229.5,0
"635",635,87,231,0
"636",636,87,232.5,0
"637",637,87,234,0
"638",638,87,235.5,0
"639",639,87,237,0
"640",640,87,238.5,0
"641",641,87,240,0
"642",642,87,241.5,0
"643",643,87,243,0
"644",644,87,244.5,0
"645",645,87,246,0
"646",646,87,247.5,0
"647",647,87,249,0
"648",648,87,250.5,0
"649",649,87,252,0
"650",650,87,253.5,0
"651",651,87,255,0
"652",652,87,256.5,0
"653",653,87,258,0
"654",654,87,259.5,0
"655",655,87,261,0
"656",656,87,262.5,0
"657",657,87,264,0
"658",658,87,265.5,0
"659",659,87,267,0
"660",660,87,268.5,0
"661",661,87,270,0
"662",662,87,271.5,0
"663",663,87,273,0
"664",664,87,274.5,0
"665",665,87,276,0
"666",666,87,277.5,0
"667",667,87,279,0
"668",668,87,280.5,0
"669",669,87,282,0
"670",670,87,283.5,0
"671",671,87,285,0
"672",672,87,286.5,0
"673",673,87,288,0
"674",674,87,289.5,0
"675",675,87,291,0
"676",676,87,292.5,0
"677",677,87,294,0
"678",678,87,295.5,0
"679",679,87,297,0
"680",680,87,298.5,0
"681",681,87,300,0
"682",682,87,301.5,0
"683",683,87,303,0
"684",684,87,304.5,0
"685",685,87,306,0
"686",686,87,307.5,0
"687",687,87,309,0
"688",688,87,310.5,0
"689",689,87,312,0
"690",690,87,313.5,0
"691",691,87,315,0
"692",692,87,316.5,0
"693",693,87,318,0
"694",694,87,319.5,0
"695",695,87,321,0
"696",696,87,322.5,0
"697",697,87,324,0
"698",698,87,325.5,0
"699",699,87,327,0
"700",700,87,328.5,0
"701",701,87,330,0
"702",702,87,331.5,0
"703",703,87,333,0
"704",704,87,334.5,0
"705",705,87,336,0
"706",706,87,337.5,0
"707",707,87,339,0
"708",708,87,340.5,0
"709",709,87,342,0
"710",710,87,343.5,0
"711",711,87,345,0
"712",712,87,346.5,0
"713",713,87,348,0
"714",714,87,349.5,0
"715",715,87,351,0
"716",716,87,352.5,0
"717",717,87,354,0
"718",718,87,355.5,0
"719",719,87,357,0
"720",720,87,358.5,0
"721",721,85.5,0,0
"722",722,85.5,1.5,0
"723",723,85.5,3,0
"724",724,85.5,4.5,0
"725",725,85.5,6,0
"726",726,85.5,7.5,0
"727",727,85.5,9,0
"728",728,85.5,10.5,0
"729",729,85.5,12,0
"730",730,85.5,13.5,0
"731",731,85.5,15,0
"732",732,85.5,16.5,0
"733",733,85.5,18,0
"734",734,85.5,19.5,0
"735",735,85.5,21,0
"736",736,85.5,22.5,0
"737",737,85.5,24,0
"738",738,85.5,25.5,0
"739",739,85.5,27,0
"740",740,85.5,28.5,0
"741",741,85.5,30,0
"742",742,85.5,31.5,0
